,words,counts
0,great,29433
1,stay,24674
2,place,23129
3,'s,20190
4,apartment,17360
5,clean,15337
6,location,14871
7,us,13816
8,nice,13106
9,would,12881
10,room,11442
11,host,11053
12,comfortable,10406
13,san,10151
14,really,9445
15,n't,9322
16,everything,9284
17,time,8605
18,easy,8437
19,recommend,8280
20,francisco,8012
21,perfect,7980
22,good,7750
23,neighborhood,7589
24,also,7425
25,definitely,7315
26,well,7279
27,city,7184
28,home,6817
29,quiet,6662
30,house,6471
31,close,6320
32,sf,6261
33,get,6007
34,-,5994
35,helpful,5983
36,area,5960
37,bed,5868
38,restaurants,5731
39,experience,5606
40,made,5542
41,like,5284
42,staying,5269
43,even,5200
44,could,5188
45,wonderful,5076
46,one,4993
47,needed,4956
48,friendly,4911
49,street,4875
50,walk,4864
51,space,4837
52,around,4727
53,back,4691
54,lovely,4450
55,parking,4426
56,studio,4422
57,beautiful,4170
58,little,4156
59,kitchen,4043
60,away,4017
61,highly,3930
62,walking,3859
63,park,3858
64,enjoyed,3852
65,located,3833
66,super,3818
67,much,3804
68,need,3803
69,feel,3783
70,night,3749
71,hosts,3659
72,first,3622
73,thanks,3621
74,amazing,3602
75,bathroom,3560
76,airbnb,3440
77,loved,3435
78,stayed,3396
79,felt,3383
80,right,3347
81,welcoming,3330
82,day,3299
83,&,3146
84,coffee,3143
85,convenient,3128
86,public,2991
87,people,2983
88,cozy,2955
89,safe,2932
90,next,2877
91,accommodating,2824
92,distance,2804
93,two,2780
94,spacious,2750
95,thank,2748
96,view,2727
97,mission,2712
98,provided,2669
99,make,2655
100,bus,2643
101,downtown,2640
102,go,2624
103,exactly,2610
104,best,2607
105,arrival,2596
106,fantastic,2587
107,visit,2547
108,excellent,2533
109,lot,2470
110,trip,2467
111,access,2463
112,arrived,2452
113,sure,2433
114,many,2425
115,small,2395
116,described,2337
117,short,2331
118,come,2316
119,days,2313
120,places,2310
121,shops,2286
122,check,2283
123,within,2274
124,welcome,2260
125,bart,2259
126,always,2251
127,questions,2226
128,awesome,2212
129,lots,2182
130,gave,2180
131,available,2175
132,car,2150
133,find,2115
134,...,2102
135,bit,2086
136,transportation,2072
137,overall,2064
138,use,2058
139,private,2033
140,enough,2017
141,better,1990
142,gate,1989
143,extremely,1987
144,meet,1975
145,kind,1962
146,garden,1958
147,things,1946
148,left,1944
149,responsive,1941
150,see,1921
151,golden,1911
152,quite,1911
153,want,1899
154,able,1897
155,looking,1886
156,castro,1876
157,got,1848
158,shower,1836
159,near,1835
160,way,1829
161,'re,1813
162,quick,1784
163,minutes,1779
164,though,1750
165,food,1735
166,plenty,1732
167,town,1719
168,pretty,1707
169,nearby,1696
170,anyone,1695
171,morning,1684
172,spot,1682
173,2,1668
174,warm,1655
175,big,1636
176,met,1633
177,every,1633
