,words,counts
0,great,6277
1,stay,4891
2,place,4423
3,house,3924
4,'s,3903
5,us,3180
6,home,2969
7,host,2768
8,location,2698
9,would,2552
10,clean,2507
11,room,2312
12,nice,2304
13,comfortable,2162
14,san,2077
15,apartment,2068
16,time,1915
17,recommend,1854
18,really,1853
19,everything,1843
20,beautiful,1745
21,perfect,1719
22,n't,1680
23,francisco,1679
24,well,1636
25,easy,1550
26,city,1507
27,space,1485
28,definitely,1475
29,also,1472
30,-,1462
31,amazing,1449
32,experience,1428
33,made,1360
34,wonderful,1350
35,sf,1345
36,good,1339
37,neighborhood,1311
38,staying,1264
39,like,1209
40,could,1198
41,one,1136
42,helpful,1130
43,even,1116
44,back,1091
45,highly,1076
46,area,1058
47,get,1042
48,restaurants,1032
49,view,1002
50,hosts,987
51,friendly,984
52,feel,966
53,lovely,966
54,kitchen,963
55,close,938
56,quiet,922
57,super,921
58,enjoyed,864
59,around,841
60,needed,835
61,airbnb,812
62,much,810
63,spacious,807
64,welcoming,796
65,family,795
66,best,792
67,street,783
68,loved,773
69,thanks,773
70,views,769
71,stayed,768
72,bed,764
73,fantastic,764
74,walk,746
75,parking,744
76,first,730
77,felt,726
78,away,713
79,walking,710
80,day,693
81,accommodating,683
82,make,672
83,located,671
84,bathroom,670
85,people,662
86,&,644
87,need,639
88,awesome,636
89,right,627
90,sure,615
91,thank,609
92,next,604
93,park,589
94,fran,585
95,night,580
96,convenient,578
97,extremely,572
98,two,570
99,better,558
100,trip,553
101,excellent,549
102,arrival,542
103,absolutely,538
104,go,537
105,coffee,534
106,distance,529
107,welcome,525
108,always,521
109,mission,520
110,visit,518
111,little,506
112,days,501
113,come,500
114,lot,499
115,work,496
116,questions,493
117,responsive,490
118,...,489
119,many,489
120,provided,485
121,lots,484
122,every,476
123,places,469
124,downtown,469
125,living,466
126,within,458
127,car,453
128,use,450
129,gave,449
130,plenty,446
131,available,446
132,michael,445
133,enough,442
134,group,434
135,friends,429
136,way,428
137,public,425
138,private,422
139,access,422
140,beds,418
141,love,417
142,exactly,417
143,anyone,414
144,big,409
145,town,406
146,arrived,403
147,see,394
148,shops,393
149,warm,391
150,looking,390
151,loft,387
152,check,386
153,large,385
154,kind,382
155,want,381
156,safe,380
157,bedroom,375
158,find,372
159,able,366
160,pictures,366
161,described,356
162,food,356
163,morning,353
164,left,353
165,overall,351
166,went,350
167,gorgeous,349
168,guests,341
169,2,339
170,got,338
171,short,336
172,'re,335
173,amenities,331
174,decorated,330
175,listing,329
176,quick,329
177,quite,319
178,local,317
179,things,317
180,ever,315
181,'d,313
182,cozy,310
183,5,309
184,communication,306
185,nearby,302
186,rooms,300
187,fun,300
188,near,299
189,spot,299
190,transportation,297
191,melissa,296
192,bart,294
193,bit,292
194,--,292
195,small,291
196,couple,290
197,hill,289
198,flat,289
199,though,288
200,help,287
201,hotel,286
202,'',285
203,recommended,284
204,shower,283
205,bus,283
206,3,283
207,whole,283
208,meet,280
209,breakfast,280
210,visiting,280
211,modern,278
212,``,277
213,wine,275
214,bars,275
215,etc,274
216,incredible,272
217,full,269
218,cool,268
219,new,265
220,minutes,264
221,top,264
222,say,264
223,minute,264
224,blocks,264
225,week,263
226,neighbourhood,263
227,ca,263
228,'ll,263
229,joe,263
230,met,263
231,book,262
232,comfy,262
233,light,262
234,part,261
235,'ve,258
236,bay,257
237,property,254
238,recommendations,252
239,found,251
240,enjoy,251
241,equipped,250
242,nights,249
243,know,249
244,hope,248
245,hot,248
246,anything,248
247,pretty,247
248,needs,244
249,toby,244
250,bedrooms,243
251,gracious,243
252,person,242
253,incredibly,241
254,deck,241
255,gate,241
256,take,241
257,going,239
258,welcomed,239
259,getting,238
260,long,238
261,4,237
262,never,236
263,door,236
264,cami,235
265,pleasant,233
266,truly,232
267,garden,231
268,weekend,229
269,reservation,227
270,golden,226
271,spencer,225
272,especially,225
273,front,224
274,making,224
275,privacy,224
276,happy,223
277,helped,223
278,business,222
279,'m,221
280,muni,218
281,last,218
282,beautifully,218
283,took,218
284,towels,214
285,huge,213
286,late,213
287,used,212
288,leave,212
289,outside,212
290,look,212
291,eat,210
292,far,210
293,dog,209
294,everyone,209
295,since,208
296,easily,203
297,information,203
298,throughout,202
299,beach,201
300,open,201
301,kids,200
302,tub,200
303,sleep,199
304,care,198
305,block,197
306,perfectly,197
307,photos,196
308,return,196
309,district,195
310,appreciated,195
311,dinner,194
312,transport,193
313,let,193
314,floor,193
315,stocked,192
316,garage,191
317,tv,191
318,wanted,191
319,although,189
320,booking,189
321,plus,186
322,castro,186
323,offered,184
324,entire,183
325,friend,183
326,came,182
327,fresh,182
328,canceled,182
329,set,182
330,without,182
331,water,181
332,10,181
333,shared,181
334,times,180
335,another,180
336,worked,180
337,coming,180
338,automated,179
339,spent,179
340,thing,179
341,greg,177
342,fabulous,176
343,future,176
344,tips,175
345,three,173
346,early,173
347,flexible,173
348,central,172
349,pleasure,171
350,quickly,171
351,uber,170
352,extra,169
353,asked,169
354,stunning,169
355,booked,169
356,problem,169
357,including,169
358,center,168
359,travel,168
360,team,168
361,cottage,167
362,sid,167
363,makes,166
364,still,165
365,charming,164
366,beyond,163
367,instructions,163
368,wish,163
369,wife,162
370,interesting,162
371,hospitality,161
372,forward,160
373,expected,160
374,dining,160
375,carol,159
376,description,159
377,square,159
378,ideal,159
379,bottle,158
380,give,157
381,stop,156
382,noise,156
383,several,156
384,end,155
385,station,155
386,alex,154
387,cute,153
388,using,151
389,spend,151
390,sweet,151
391,soon,151
392,accurate,151
393,furnished,150
394,guest,150
395,kept,149
396,unique,149
397,cafes,148
398,building,148
399,communicate,147
400,ready,147
401,high,146
402,bright,146
403,explore,145
404,art,145
405,jessica,145
406,upon,145
407,areas,144
408,camila,143
409,fully,143
410,think,143
411,corner,142
412,evening,141
413,spectacular,141
414,ask,141
415,old,141
416,patio,141
417,second,139
418,market,139
419,advertised,139
420,husband,138
421,traveling,138
422,certainly,138
423,attentive,137
424,real,137
425,clear,136
426,wifi,136
427,live,135
428,grocery,134
429,check-in,134
430,however,134
431,balcony,134
432,airport,133
433,mansion,133
434,slept,133
435,thought,132
436,special,132
437,showed,132
438,organized,132
439,process,131
440,union,131
441,across,131
442,suggestions,130
443,touch,130
444,conference,129
445,details,129
446,advice,129
447,may,129
448,heart,128
449,6,128
450,yet,128
451,naveen,128
452,hospitable,128
453,free,127
454,zoe,127
455,thoughtful,126
456,rent,126
457,colleagues,126
458,nicely,126
459,david,126
460,unit,125
461,communicative,125
462,working,125
463,bridge,125
464,valley,125
465,janaf,124
466,totally,124
467,meeting,124
468,victorian,124
469,air,124
470,main,123
471,billy,123
472,together,123
473,try,122
474,relax,122
475,price,122
476,fine,122
477,immediately,122
478,walked,122
479,cable,122
480,rented,121
481,deal,120
482,store,120
483,via,120
484,contact,120
485,exploring,119
486,ride,119
487,bathrooms,119
488,vacation,119
489,shopping,119
490,chance,119
491,ken,119
492,accessible,119
493,rental,119
494,keep,119
495,accommodations,118
496,anywhere,118
497,party,118
498,different,118
499,appointed,118
500,offsite,117
501,something,117
502,adam,117
503,bath,117
504,greeted,116
505,four,116
506,relaxing,116
507,fridge,115
508,inside,115
509,matt,115
510,busy,114
511,detail,113
512,restaurant,113
513,enjoyable,113
514,company,113
515,event,112
516,tidy,112
517,wharf,112
518,respond,112
519,tour,111
520,hard,111
521,hours,110
522,actually,109
523,terrific,109
524,everywhere,109
525,put,108
526,haight,108
527,cook,108
528,windows,107
529,heights,106
530,master,106
531,fit,106
532,already,106
533,generous,105
534,longer,105
535,might,105
536,wait,105
537,john,104
538,nothing,104
539,stores,104
540,backyard,104
541,else,103
542,1,103
543,key,103
544,said,103
545,roof,103
546,prepared,103
547,upstairs,103
548,transit,103
549,ocean,103
550,dogs,103
551,life,103
552,issues,103
553,responded,102
554,immaculate,102
555,noe,102
556,share,101
557,attractions,101
558,sleeping,101
559,daniel,101
560,liked,100
561,middle,100
562,delicious,99
563,issue,99
564,offer,99
565,size,99
566,young,99
567,peaceful,99
568,checking,99
569,spotless,99
570,favorite,99
571,conveniently,98
572,snacks,98
573,moment,98
574,flight,97
575,talk,97
576,guy,97
577,neat,96
578,plan,96
579,looks,96
580,rest,96
581,tea,96
582,others,96
583,suite,95
584,prompt,95
585,fast,95
586,centrally,95
587,due,95
588,sharing,95
589,table,95
590,drive,94
591,checked,94
592,hostess,94
593,condo,93
594,true,93
595,apt,93
596,design,93
597,expectations,93
598,pictured,92
599,answered,92
600,completely,92
601,rooftop,92
602,probably,92
603,shannon,92
604,hang,91
605,stairs,91
606,couch,91
607,spots,90
608,keys,90
609,possible,90
610,bonus,90
611,start,89
612,almost,89
613,whenever,89
614,five,89
615,outdoor,89
616,year,89
617,accommodate,89
618,provide,88
619,min,88
620,patrice,88
621,show,88
622,less,87
623,steps,87
624,sheets,86
625,laundry,86
626,justice,86
627,worth,86
628,daughter,86
629,prior,86
630,system,85
631,north,85
632,attention,85
633,looked,85
634,jeannine,85
635,simply,85
636,answer,85
637,problems,85
638,feeling,85
639,allowed,85
640,decor,85
641,owner,84
642,guys,84
643,terrace,84
644,lexie,84
645,along,84
646,moscone,83
647,dolores,83
648,bernal,83
649,$,83
650,downstairs,83
651,victor,83
652,note,83
653,15,82
654,line,82
655,pk,82
656,taking,82
657,maintained,82
658,furniture,81
659,providing,81
660,text,80
661,cooking,80
662,side,80
663,ryan,80
664,inviting,80
665,fisherman,80
666,base,80
667,thoroughly,80
668,ashish,79
669,options,79
670,sunny,79
671,7,79
672,directions,79
673,simple,79
674,mind,79
675,tons,78
676,run,78
677,foods,77
678,adorable,77
679,someone,77
680,breathtaking,77
681,lucky,77
682,style,77
683,cat,76
684,hidden,76
685,accommodation,76
686,provides,76
687,comfortably,76
688,gem,76
689,sfo,75
690,judy,75
691,window,75
692,world,75
693,takes,75
694,weeks,75
695,20,74
696,carter,74
697,neighborhoods,74
698,8,74
699,buck,74
700,designed,74
701,feels,74
702,natural,74
703,sound,73
704,job,72
705,st,72
706,adults,72
707,considerate,72
708,eunice,72
709,tourist,71
710,choice,71
711,wo,71
712,tim,71
713,taken,71
714,mins,70
715,common,70
716,touches,70
717,mention,70
718,situated,70
719,tastefully,70
720,superb,69
721,hosting,69
722,children,69
723,linens,68
724,luggage,68
725,literally,68
726,wedding,68
727,personal,68
728,giving,68
729,interior,68
730,useful,67
731,dan,67
732,done,67
733,ambere,67
734,hills,67
735,eric,67
736,steep,67
737,stuff,67
738,internet,67
739,shop,67
740,quality,66
741,hesitate,66
742,difficult,66
743,treat,66
744,point,66
745,chat,66
746,beat,66
747,email,66
748,waiting,66
749,families,66
750,phyllis,65
751,miss,65
752,fruit,65
753,hear,65
754,taste,65
755,willing,65
756,delightful,65
757,dryer,65
758,katie,65
759,machine,65
760,professional,65
761,value,65
762,drink,64
763,girls,64
764,books,64
765,leaving,64
766,appartment,64
767,proximity,64
768,meals,64
769,tell,64
770,girlfriend,64
771,matthew,64
772,james,63
773,course,63
774,condition,63
775,chinatown,63
776,parts,63
777,dream,63
778,barb,63
779,smooth,63
780,soma,62
781,mattress,62
782,train,62
783,must,62
784,relaxed,62
785,drinks,62
786,stars,62
787,told,62
788,phone,62
789,expect,62
790,appliances,62
791,beth,62
792,queen,61
793,bring,61
794,opportunity,61
795,roomy,61
796,call,61
797,reach,61
798,detailed,61
799,potrero,61
800,bar,60
801,/,60
802,hotels,60
803,promptly,60
804,yogesh,60
805,surrounding,60
806,conversation,60
807,luxurious,60
808,facilities,60
809,residential,60
810,music,60
811,atmosphere,60
812,level,59
813,guide,59
814,list,59
815,lived,59
816,flowers,59
817,unfortunately,59
818,office,59
819,later,59
820,filled,59
821,addition,59
822,meetings,59
823,cold,58
824,finding,58
825,laura,58
826,often,58
827,experiences,58
828,glad,58
829,mi,58
830,spaces,58
831,fact,58
832,returning,58
833,comfort,58
834,knew,58
835,son,57
836,environment,57
837,yard,57
838,myles,57
839,stephanie,57
840,otherwise,57
841,given,57
842,parks,57
843,choose,57
844,possibly,56
845,noisy,56
846,valencia,56
847,cars,56
848,star,56
849,complete,56
850,service,56
851,positive,56
852,absolute,56
853,single,56
854,bad,55
855,multiple,55
856,cleaning,55
857,margie,55
858,pepijn,55
859,major,55
860,futon,55
861,watch,55
862,breeze,55
863,ben,55
864,least,55
865,weather,55
866,glenn,55
867,sit,55
868,case,55
869,enjoying,54
870,sunset,54
871,memorable,54
872,outstanding,54
873,airy,54
874,eating,54
875,saw,54
876,important,54
877,character,54
878,smoothly,54
879,bnb,54
880,despite,54
881,regret,54
882,separate,54
883,sun,54
884,road,54
885,requests,53
886,keith,53
887,ample,53
888,furnishings,53
889,glass,53
890,shampoo,53
891,entrance,53
892,cosy,53
893,browns,53
894,french,53
895,years,53
896,stories,53
897,number,52
898,goes,52
899,offers,52
900,twin,52
901,emily,52
902,wona,52
903,hour,52
904,cafe,52
905,items,52
906,play,51
907,traffic,51
908,wants,51
909,yann,51
910,stylish,51
911,projector,51
912,request,51
913,particularly,51
914,rocky,50
915,rules,50
916,tish,50
917,boyfriend,50
918,sitting,50
919,impressed,50
920,arriving,50
921,aware,50
922,closet,50
923,charm,50
924,soft,50
925,communicating,50
926,either,50
927,planning,50
928,kate,50
929,parents,50
930,julia,50
931,added,50
932,consider,50
933,jacques,50
934,jennifer,50
935,schedule,50
936,elegant,49
937,julie,49
938,sightseeing,49
939,toiletries,49
940,respectful,49
941,gatz,49
942,bags,49
943,info,49
944,floors,49
945,helping,49
946,accommodated,49
947,safeway,49
948,knowledge,49
949,tommy,49
950,half,49
951,9,49
952,called,48
953,handy,48
954,danielle,48
955,laid,48
956,baby,48
957,100,48
958,caring,48
959,heartbeat,48
960,exceeded,48
961,invited,48
962,carlos,48
963,pleased,48
964,move,48
965,amount,48
966,exceptional,47
967,shown,47
968,rebecca,47
969,seeing,47
970,appreciate,47
971,suggest,47
972,convenience,47
973,necessary,47
974,beginning,47
975,mark,46
976,strongly,46
977,brought,46
978,meal,46
979,centre,46
980,warmly,46
981,map,46
982,arrive,46
983,communicated,46
984,ash,46
985,comes,46
986,heather,46
987,instead,46
988,groceries,46
989,clearly,46
990,brilliant,46
991,sofa,46
992,owners,46
993,question,46
994,seemed,45
995,walkable,45
996,honestly,45
997,roommates,45
998,reviews,45
999,alone,45
1000,luxury,45
1001,included,45
1002,sent,45
1003,phenomenal,45
1004,%,45
1005,st.,45
1006,travelers,45
1007,listed,45
1008,option,44
1009,vibe,44
1010,ensure,44
1011,ok,44
1012,layout,44
1013,stops,44
1014,tower,44
1015,fransisco,44
1016,ease,44
1017,six,44
1018,calm,44
1019,mornings,44
1020,ended,44
1021,kevin,44
1022,bedding,44
1023,streets,44
1024,toilet,44
1025,daily,44
1026,val,44
1027,marina,44
1028,fairly,44
1029,24th,44
1030,renting,43
1031,recommending,43
1032,posting.the,43
1033,larger,43
1034,seen,43
1035,couples,43
1036,30,43
1037,cooked,43
1038,basic,43
1039,hand,43
1040,renovated,43
1041,basket,43
1042,board,43
1043,b,43
1044,lives,43
1045,mom,43
1046,trouble,43
1047,hosted,43
1048,houses,42
1049,mile,42
1050,travelling,42
1051,soap,42
1052,general,42
1053,miles,42
1054,offering,42
1055,maureen,42
1056,neighbors,42
1057,lights,42
1058,foot,42
1059,pillows,42
1060,messages,42
1061,carrie,42
1062,vic,42
1063,white,41
1064,hanging,41
1065,locations,41
1066,hal,41
1067,supplies,41
1068,oh,41
1069,letting,41
1070,washer,41
1071,indeed,41
1072,overlooking,41
1073,nob,41
1074,connected,41
1075,easier,41
1076,downside,41
1077,running,41
1078,groups,40
1079,activities,40
1080,buses,40
1081,lock,40
1082,artwork,40
1083,steven,40
1084,mike,40
1085,history,40
1086,roommate,40
1087,wonderfully,40
1088,chill,39
1089,fireplace,39
1090,loud,39
1091,efficient,39
1092,picked,39
1093,gets,39
1094,greet,39
1095,supermarket,39
1096,coit,39
1097,studio,39
1098,turned,39
1099,recommendation,39
1100,situation,38
1101,setting,38
1102,enzo,38
1103,head,38
1104,rather,38
1105,la,38
1106,works,38
1107,chose,38
1108,taso,38
1109,notice,38
1110,plans,38
1111,sister,38
1112,reasonable,38
1113,money,38
1114,george,38
1115,wow,38
1116,alexandra,38
1117,penthouse,38
1118,nicer,38
1119,immaculately,38
1120,brad,38
1121,disappointed,37
1122,talking,37
1123,holiday,37
1124,month,37
1125,third,37
1126,departure,37
1127,timely,37
1128,energy,37
1129,surprise,37
1130,events,37
1131,eclectic,37
1132,decided,37
1133,refrigerator,37
1134,maria,37
1135,informative,37
1136,double,37
1137,various,37
1138,importantly,36
1139,retreat,36
1140,pick,36
1141,additional,36
1142,classic,36
1143,+,36
1144,sights,36
1145,collection,36
1146,again.the,36
1147,toys,36
1148,homey,36
1149,oasis,36
1150,basically,36
1151,doors,36
1152,hair,36
1153,order,36
1154,personally,36
1155,conversations,36
1156,bread,36
1157,pow,36
1158,agnes,36
1159,metro,36
1160,peaks,36
1161,spending,36
1162,driving,36
1163,attending,36
1164,tight,36
1165,affordable,36
1166,site,35
1167,settled,35
1168,bunch,35
1169,mentioned,35
1170,lounge,35
1171,driveway,35
1172,rania,35
1173,jason,35
1174,imagine,35
1175,randy,35
1176,susan,35
1177,wake,35
1178,bigger,35
1179,functional,35
1180,url,35
1181,dayne,35
1182,regarding,35
1183,response,35
1184,cream,35
1185,catch,35
1186,besides,35
1187,visitors,35
1188,seems,35
1189,cleaned,35
1190,novita,35
1191,magical,34
1192,community,34
1193,finally,34
1194,champagne,34
1195,setup,34
1196,entertainment,34
1197,advantage,34
1198,heigo,34
1199,evenings,34
1200,kindly,34
1201,beer,34
1202,recently,34
1203,freeway,34
1204,maybe,34
1205,minor,34
1206,answering,34
1207,nick,34
1208,change,34
1209,fell,34
1210,check-out,34
1211,visited,34
1212,venue,34
1213,surprised,34
1214,delight,34
1215,responding,33
1216,playing,33
1217,california,33
1218,managed,33
1219,thorough,33
1220,microwave,33
1221,nicest,33
1222,courteous,33
1223,concerns,33
1224,accomodating,33
1225,partner,33
1226,west,33
1227,amenity,33
1228,grateful,33
1229,forget,33
1230,–,33
1231,brand,33
1232,afternoon,33
1233,variety,33
1234,tasha,33
1235,glen,33
1236,pacific,33
1237,birthday,33
1238,brian,33
1239,interested,33
1240,notch,33
1241,doubt,32
1242,leading,32
1243,bother,32
1244,sam,32
1245,east,32
1246,sensitive,32
1247,watching,32
1248,communications,32
1249,historic,32
1250,max,32
1251,susette,32
1252,behind,32
1253,saundra,32
1254,chocolate,32
1255,magnificent,32
1256,heat,32
1257,louise,32
1258,read,32
1259,chris,32
1260,markets,32
1261,cats,32
1262,inquiries,32
1263,everyday,32
1264,wished,32
1265,ice,32
1266,arranged,32
1267,straight,32
1268,experienced,32
1269,understanding,32
1270,walls,32
1271,somewhere,32
1272,received,32
1273,reason,31
1274,mostly,31
1275,homes,31
1276,12,31
1277,travels,31
1278,matter,31
1279,gym,31
1280,staff,31
1281,joy,31
1282,explained,31
1283,earlier,31
1284,whatever,31
1285,genuine,31
1286,allowing,31
1287,gives,31
1288,features,31
1289,smaller,31
1290,considering,31
1291,cheap,31
1292,smart,31
1293,tried,31
1294,add,31
1295,words,31
1296,sites,31
1297,creative,31
1298,jim,31
1299,sometimes,31
1300,eateries,30
1301,impeccable,30
1302,traveled,30
1303,responses,30
1304,prepare,30
1305,olivier,30
1306,mother,30
1307,jose,30
1308,highlight,30
1309,knows,30
1310,cleanliness,30
1311,dino,30
1312,trips,30
1313,warmth,30
1314,mary,30
1315,clothes,30
1316,showers,30
1317,vibrant,30
1318,tina,30
1319,hoped,30
1320,review,30
1321,alcatraz,30
1322,stays,30
1323,lighting,30
1324,hip,30
1325,hopefully,30
1326,chocolates,30
1327,except,29
1328,getaway,29
1329,ahead,29
1330,desk,29
1331,missing,29
1332,heater,29
1333,alamo,29
1334,updated,29
1335,cab,29
1336,colleague,29
1337,beauty,29
1338,unbeatable,29
1339,seating,29
1340,phil,29
1341,caltrain,29
1342,bi-rite,29
1343,pay,29
1344,maps,29
1345,ones,29
1346,greatly,29
1347,seamless,29
1348,story,29
1349,annie,29
1350,camilla,29
1351,hands,29
1352,describe,29
1353,gladly,29
1354,sleeper,29
1355,wanting,29
1356,happily,28
1357,exceptionally,28
1358,past,28
1359,bekah,28
1360,bike,28
1361,chairs,28
1362,extended,28
1363,decoration,28
1364,mini,28
1365,sense,28
1366,months,28
1367,understand,28
1368,visits,28
1369,christine,28
1370,locals,28
1371,quaint,28
1372,patricia,28
1373,drove,28
1374,taxi,28
1375,please,28
1376,secure,28
1377,bustle,28
1378,lenza,28
1379,homely,28
1380,satisfied,28
1381,paul,28
1382,bakery,28
1383,face,28
1384,ton,28
1385,commute,28
1386,chinese,28
1387,original,28
1388,lower,28
1389,skyline,28
1390,previous,28
1391,parked,28
1392,ideas,28
1393,green,28
